x0000,y0000
611.811218,4493.
611.898376,4506.
611.985413,4457.
612.072449,4506.
612.159546,4440.
612.246643,4410.
612.333679,4391.
612.420715,4325.
612.507812,4347.
612.594849,4429.
612.681824,4407.
612.76886,4407.
612.855774,4482.
612.942871,4437.
613.029785,4455.
613.11676,4502.
613.203674,4418.
613.29071,4570.
613.377625,4463.
613.464539,4401.
613.551453,4310.
613.638428,4347.
613.725342,4339.
613.812195,4418.
613.899109,4248.
613.986023,4274.
614.072876,4300.
614.159729,4309.
614.246582,4417.
614.333496,4337.
614.420288,4319.
614.507141,4281.
614.593933,4354.
614.680725,4271.
614.767517,4329.
614.854309,4345.
614.941101,4314.
615.027893,4272.
615.114685,4221.
615.201355,4330.
615.288147,4277.
615.374878,4240.
615.461609,4302.
615.54834,4275.
615.63501,4268.
615.72168,4321.
615.808411,4287.
615.895142,4357.
615.98175,4357.
616.06842,4321.
616.15509,4373.
616.241699,4400.
616.328308,4348.
616.414978,4329.
616.501648,4321.
616.588196,4254.
616.674805,4294.
616.761353,4321.
616.847961,4265.
616.93457,4289.
617.021057,4244.
617.107605,4216.
617.194153,4289.
617.280701,4346.
617.367188,4346.
617.453735,4291.
617.540222,4311.
617.626709,4236.
617.713196,4308.
617.799622,4347.
617.886108,4228.
617.972595,4271.
618.059021,4113.
618.145508,4102.
618.231873,4166.
618.318359,4196.
618.404724,4168.
618.49115,4120.
618.577515,4162.
618.66394,4181.
618.750244,4208.
618.836609,4153.
618.922974,4240.
619.009338,4154.
619.095703,4236.
619.181946,4194.
619.26825,4261.
619.354614,4280.
619.440918,4076.
619.527161,4156.
619.613464,4149.
619.699707,4085.
619.786011,4060.
619.872192,4069.
619.958435,4131.
620.044739,4094.
620.13092,4084.
620.217163,4104.
620.303284,4208.
620.389526,4150.
620.475708,4112.
620.56189,4149.
620.64801,4175.
620.734131,4121.
620.820312,4149.
620.906433,4118.
620.992554,4031.
621.078674,4107.
621.164795,4016.
621.250916,4058.
621.336975,4015.
621.423035,4039.
621.509094,3923.
621.595215,3988.
621.681213,3974.
621.767212,4025.
621.853271,4045.
621.93927,4035.
622.025269,3994.
622.111267,4085.
622.197266,4076.
622.283264,4061.
622.369263,4032.
622.4552,3985.
622.541199,4018.
622.627075,3946.
622.713074,4063.
622.79895,4020.
622.884827,4027.
622.970764,3999.
623.056641,3885.
623.142517,4001.
623.228333,3969.
623.31427,4013.
623.400146,4027.
623.485962,4015.
623.571777,4032.
623.657654,4101.
623.743408,4066.
623.829224,3982.
623.914978,4023.
624.000854,4046.
624.086609,3968.
624.172363,3993.
624.258118,3953.
624.343872,4025.
624.429626,3959.
624.51532,4043.
624.601074,3995.
624.686707,3915.
624.772461,3939.
624.858093,4037.
624.943787,3998.
625.02948,4017.
